model,dataset_size,dataset,fold,carte_lr_idx,test_score,best_val_loss,Created
CARTE 🗺️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,3,2.0,0.8874951118335662,"[-0.8906580209732056,-0.8858386874198914,-0.8788495063781738,-0.8700132369995117,-0.8827896118164062]",2025-04-26T00:51:12.000Z
CARTE 🗺️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,2,2.0,0.9045566834207877,"[-0.8863155245780945,-0.8949463963508606,-0.8832995295524597,-0.8728534579277039,-0.8849617838859558]",2025-04-26T00:49:53.000Z
CARTE 🗺️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,1,2.0,0.9073793964662572,"[-0.8791925311088562,-0.8825162053108215,-0.877199113368988,-0.8665480017662048,-0.8796346783638]",2025-04-26T00:48:02.000Z
CARTE 🗺️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,0,2.0,0.8989462098777754,"[-0.8953978419303894,-0.8879585266113281,-0.8807498812675476,-0.8801979422569275,-0.8865114450454712]",2025-04-26T00:47:58.000Z
CARTE 🗺️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,3,2.0,0.8799312090872473,"[-0.8637503981590271,-0.8713054656982422,-0.8726493716239929,-0.8728936314582825,-0.8801990747451782]",2025-04-26T00:38:35.000Z
CARTE 🗺️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,2,2.0,0.8831269985040275,"[-0.8773767352104187,-0.8706032037734985,-0.8653755187988281,-0.8804270029067993,-0.8809589743614197]",2025-04-26T00:38:25.000Z
CARTE 🗺️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,1,2.0,0.8855618392437558,"[-0.8866559863090515,-0.8618507385253906,-0.8777362704277039,-0.8771199584007263,-0.8787668347358704]",2025-04-26T00:34:02.000Z
CARTE 🗺️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,0,2.0,0.8772635597235332,"[-0.8743644952774048,-0.8678489923477173,-0.8729364275932312,-0.8727142214775085,-0.8779069781303406]",2025-04-26T00:32:41.000Z
CARTE 🗺️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,3,2.0,0.8852679755996952,"[-0.8856480121612549,-0.8604744672775269,-0.8771538138389587,-0.9047125577926636,-0.8799129724502563]",2025-04-26T00:24:35.000Z
CARTE 🗺️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,2,2.0,0.8694052542810509,"[-0.8655960559844971,-0.8843216896057129,-0.8779796957969666,-0.8783607482910156,-0.8644235134124756]",2025-04-26T00:24:25.000Z
CARTE 🗺️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,1,2.0,0.8827968909652864,"[-0.8732192516326904,-0.8891670107841492,-0.8869181871414185,-0.8743208050727844,-0.874958336353302]",2025-04-26T00:23:28.000Z
CARTE 🗺️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,0,2.0,0.8847554770597766,"[-0.8859239220619202,-0.8671362996101379,-0.9070573449134828,-0.8853226900100708,-0.8678393363952637]",2025-04-26T00:21:56.000Z
CARTE 🗺️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,3,2.0,0.6999812574524623,"[-0.7007556811191256,-0.7123783602915559,-0.7221986503066073,-0.714440615445469,-0.7017330532299848]",2025-04-25T23:40:56.000Z
CARTE 🗺️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,2,2.0,0.7072862515939788,"[-0.7064577849988329,-0.7176412216461476,-0.704016079495998,-0.7026759298545785,-0.6953301160543143]",2025-04-25T23:40:45.000Z
CARTE 🗺️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,1,2.0,0.7124168802512191,"[-0.7022453112010294,-0.6772119368180674,-0.6820027849355912,-0.6995103940649366,-0.7124065316053394]",2025-04-25T23:40:35.000Z
CARTE 🗺️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,0,2.0,0.7061467506976713,"[-0.7000427744029694,-0.6943274472535269,-0.6460596380963551,-0.6991717633747624,-0.6915643588036505]",2025-04-25T23:35:25.000Z
CARTE 🗺️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,3,2.0,0.9212071412564428,"[-0.8756962344755485,-0.9014967163569289,-0.8787124994742566,-0.8692160715251366,-0.8754649073790339]",2025-04-25T23:20:05.000Z
