dataset,fold,model,Runtime,cpu_cores,cpu_name,gpu_total_memory_gb,gpu_type,inference_peak_cpu_gb,inference_peak_gpu_gb,inference_wall_time_s,m_features,n_test,n_train,system_ram_gb,timestamp,train_examples,train_peak_cpu_gb,train_peak_gpu_gb,train_wall_time_s
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,7,TabSTAR 🌟,341,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.7970619201660156,0.9208984375,2.0149333477020264,7,1639,10000,1007.6864013671876,2025-08-08 15:51:37,10000,1.8043251037597656,1.3525390625,336.23703026771545
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,6,TabSTAR 🌟,200,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.7774505615234375,0.9189453125,1.5079586505889893,7,1639,10000,1007.6864013671876,2025-08-08 15:49:02,10000,1.7551498413085938,1.3720703125,196.31292581558228
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,4,TabSTAR 🌟,462,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.7833518981933594,0.9208984375,1.5206303596496582,7,1639,10000,1007.6864013671876,2025-08-08 15:53:06,10000,1.7885818481445312,1.3623046875,456.2798395156861
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,5,TabSTAR 🌟,447,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.7765998840332031,0.9228515625,1.51566743850708,7,1639,10000,1007.672779083252,2025-08-08 15:50:52,10000,1.787433624267578,1.3291015625,434.60304403305054
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,1,TabSTAR 🌟,238,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.7797584533691406,0.9208984375,1.513153314590454,7,1639,10000,1007.6864013671876,2025-08-08 15:47:21,10000,1.7679100036621094,1.3642578125,230.25697422027588
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,2,TabSTAR 🌟,236,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.7752189636230469,0.9208984375,1.5169050693511963,7,1639,10000,1007.672779083252,2025-08-08 15:45:57,10000,1.8348846435546875,1.4169921875,230.61170840263367
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,3,TabSTAR 🌟,195,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.771770477294922,0.9228515625,1.0054221153259275,7,1639,10000,1007.6727752685548,2025-08-08 15:45:13,10000,1.8324012756347656,1.3916015625,191.27531719207764
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,0,TabSTAR 🌟,484,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.7929344177246094,0.9208984375,1.5099163055419922,7,1639,10000,1007.6650276184082,2025-08-08 15:47:55,10000,1.7876129150390625,1.3466796875,480.0105891227722
REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,9,TabSTAR 🌟,89,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.8126792907714844,0.9208984375,0.5092103481292725,22,166,1503,1007.6727752685548,2025-08-08 15:40:50,10000,1.7927207946777344,2.2685546875,86.47090458869934
REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,8,TabSTAR 🌟,178,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.774761199951172,0.9208984375,0.5146706104278564,22,166,1503,1007.6864013671876,2025-08-08 15:41:39,10000,1.8812713623046875,2.1962890625,174.27913641929626
