model,dataset_size,dataset,fold,Created,optuna_n_trials
RealMLP-Tuned 🌐,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,0,2025-07-21T19:35:37.000Z,42
RealMLP-Tuned 🌐,10000,REG_SPORTS_FIFA22_WAGES,9,2025-07-21T19:33:22.000Z,50
RealMLP-Tuned 🌐,10000,REG_SPORTS_FIFA22_WAGES,8,2025-07-21T19:30:52.000Z,52
RealMLP-Tuned 🌐,10000,REG_SPORTS_FIFA22_WAGES,7,2025-07-21T19:30:45.000Z,48
RealMLP-Tuned 🌐,10000,REG_SPORTS_FIFA22_WAGES,6,2025-07-21T19:07:24.000Z,49
RealMLP-Tuned 🌐,10000,REG_SPORTS_FIFA22_WAGES,5,2025-07-21T19:05:34.000Z,46
RealMLP-Tuned 🌐,10000,REG_SPORTS_FIFA22_WAGES,4,2025-07-21T18:57:17.000Z,67
RealMLP-Tuned 🌐,10000,REG_SPORTS_FIFA22_WAGES,3,2025-07-21T18:56:20.000Z,51
RealMLP-Tuned 🌐,10000,REG_SPORTS_FIFA22_WAGES,2,2025-07-21T18:55:14.000Z,66
RealMLP-Tuned 🌐,10000,REG_SPORTS_FIFA22_WAGES,1,2025-07-21T18:46:31.000Z,34
RealMLP-Tuned 🌐,10000,REG_SPORTS_FIFA22_WAGES,0,2025-07-21T18:41:36.000Z,41
RealMLP-Tuned 🌐,10000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,8,2025-07-21T18:40:35.000Z,44
RealMLP-Tuned 🌐,10000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,9,2025-07-21T18:40:13.000Z,52
RealMLP-Tuned 🌐,10000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,6,2025-07-21T18:40:04.000Z,41
RealMLP-Tuned 🌐,10000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,7,2025-07-21T18:39:59.000Z,31
RealMLP-Tuned 🌐,10000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,5,2025-07-21T18:39:41.000Z,41
RealMLP-Tuned 🌐,10000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,2,2025-07-21T18:36:58.000Z,40
RealMLP-Tuned 🌐,10000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,4,2025-07-21T18:36:52.000Z,43
RealMLP-Tuned 🌐,10000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,3,2025-07-21T18:36:11.000Z,53
RealMLP-Tuned 🌐,10000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,1,2025-07-21T18:17:03.000Z,56
RealMLP-Tuned 🌐,10000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,0,2025-07-21T17:20:33.000Z,52
RealMLP-Tuned 🌐,10000,REG_FOOD_BEER_RATINGS,9,2025-07-21T16:40:48.000Z,117
RealMLP-Tuned 🌐,10000,REG_FOOD_BEER_RATINGS,8,2025-07-21T16:29:51.000Z,95
RealMLP-Tuned 🌐,10000,REG_FOOD_BEER_RATINGS,7,2025-07-21T16:15:08.000Z,132
RealMLP-Tuned 🌐,10000,REG_FOOD_BEER_RATINGS,6,2025-07-21T16:10:18.000Z,130
RealMLP-Tuned 🌐,10000,REG_FOOD_BEER_RATINGS,5,2025-07-21T16:04:33.000Z,133
RealMLP-Tuned 🌐,10000,REG_FOOD_BEER_RATINGS,4,2025-07-21T15:58:01.000Z,122
RealMLP-Tuned 🌐,10000,REG_FOOD_BEER_RATINGS,3,2025-07-21T15:51:45.000Z,130
RealMLP-Tuned 🌐,10000,REG_FOOD_BEER_RATINGS,2,2025-07-21T15:41:43.000Z,120
RealMLP-Tuned 🌐,10000,REG_FOOD_BEER_RATINGS,1,2025-07-21T15:25:55.000Z,120
RealMLP-Tuned 🌐,10000,REG_FOOD_BEER_RATINGS,0,2025-07-21T15:16:51.000Z,124
RealMLP-Tuned 🌐,10000,REG_SOCIAL_KOREAN_DRAMA,9,2025-07-21T15:13:57.000Z,258
RealMLP-Tuned 🌐,10000,REG_SOCIAL_KOREAN_DRAMA,8,2025-07-21T15:08:21.000Z,264
RealMLP-Tuned 🌐,10000,REG_SOCIAL_KOREAN_DRAMA,7,2025-07-21T15:05:53.000Z,191
RealMLP-Tuned 🌐,10000,REG_SOCIAL_KOREAN_DRAMA,6,2025-07-21T14:43:07.000Z,335
RealMLP-Tuned 🌐,10000,REG_SOCIAL_KOREAN_DRAMA,5,2025-07-21T14:40:00.000Z,326
RealMLP-Tuned 🌐,10000,REG_SOCIAL_KOREAN_DRAMA,3,2025-07-21T14:18:33.000Z,248
RealMLP-Tuned 🌐,10000,REG_SOCIAL_KOREAN_DRAMA,4,2025-07-21T14:18:24.000Z,189
RealMLP-Tuned 🌐,10000,REG_SOCIAL_KOREAN_DRAMA,2,2025-07-21T14:18:05.000Z,248
RealMLP-Tuned 🌐,10000,REG_SOCIAL_KOREAN_DRAMA,1,2025-07-21T14:17:01.000Z,269
RealMLP-Tuned 🌐,10000,REG_SOCIAL_KOREAN_DRAMA,0,2025-07-21T14:15:09.000Z,271
RealMLP-Tuned 🌐,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,9,2025-07-21T14:11:02.000Z,80
RealMLP-Tuned 🌐,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,8,2025-07-21T14:08:51.000Z,75
RealMLP-Tuned 🌐,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,7,2025-07-21T14:04:30.000Z,120
RealMLP-Tuned 🌐,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,6,2025-07-21T14:04:29.000Z,115
RealMLP-Tuned 🌐,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,5,2025-07-21T13:57:05.000Z,75
RealMLP-Tuned 🌐,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,4,2025-07-21T13:43:26.000Z,80
RealMLP-Tuned 🌐,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,3,2025-07-21T13:42:39.000Z,113
RealMLP-Tuned 🌐,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,2,2025-07-21T13:40:13.000Z,79
RealMLP-Tuned 🌐,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,1,2025-07-21T13:39:52.000Z,51
RealMLP-Tuned 🌐,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,0,2025-07-21T12:44:00.000Z,124
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,9,2025-07-21T11:15:13.000Z,53
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,8,2025-07-21T11:04:46.000Z,51
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,7,2025-07-21T11:04:09.000Z,50
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,6,2025-07-21T10:46:24.000Z,47
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,5,2025-07-21T10:44:53.000Z,36
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,4,2025-07-21T10:14:36.000Z,48
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,2,2025-07-21T10:10:43.000Z,51
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,3,2025-07-21T10:10:43.000Z,49
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,1,2025-07-21T10:10:18.000Z,52
RealMLP-Tuned 🌐,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,9,2025-07-21T10:09:47.000Z,291
RealMLP-Tuned 🌐,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,7,2025-07-21T10:09:10.000Z,282
RealMLP-Tuned 🌐,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,8,2025-07-21T10:09:04.000Z,290
RealMLP-Tuned 🌐,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,6,2025-07-21T10:05:40.000Z,294
